"","M1","M2","M3","M4","M5","M6","M7","M8","parameter"
"1",0.253043204602447,0.259971949586579,0.641433091512773,0.286419720096864,0.169024884908359,0.133860915873718,0.199758654058422,0.0546632908571051,"gamma"
"2",0,0.988079579875959,0.711779591815266,0,0,0,0.888319532657408,0.728038101830599,"lambda-2"
"3",0,1.02221338711338,0.923415795595968,0,0,0,1.01521279253436,1.09128257359335,"lambda-1"
"4",0,0.981836567434797,0.99018948699848,0,0,0,0.983873050086333,1.03647028551421,"lambda0"
"5",0,1.1317527084346,1.01803457761252,0,0,0,1.1338551813281,1.11100855088509,"lambda1"
"6",0,1.07319260606724,0.869159828864015,0,0,0,0.972193095894447,0.916833899382763,"lambda2"
"7",0,1.07485021678109,1.02934337926351,0,0,0,0.990819527028107,0.84662238887284,"mu-2"
"8",0,1.17492315277298,1.46602662895937,0,0,0,1.19444282661697,0.992156786094184,"mu-1"
"9",0,1.00986913396058,1.4690080168767,0,0,0,1.0494499902009,0.955075531602284,"mu0"
"10",0,0.975526601184672,1.1482423142206,0,0,0,0.997991895090181,0.773037073055301,"mu1"
"11",0,1.12335394054457,1.05685757016357,0,0,0,1.07753855623988,0.810275969981997,"mu2"
"12",0.00522110197351784,0.00606254888057406,0.00844245607933383,0.00754049869685373,0.00600399913843555,0.0073519217349493,0.00557995104982827,0.00674025166642042,"goal_diff"
"13",0.126751639488654,0.107733122835634,0.146212247272664,0.157706445995904,0.0796370737782653,0.0673619002808785,0.0643439788582126,0.0953325312330707,"points_per_match"
"14",0.0196155583788871,0.0181866677660335,0.0215804944099016,0.0169710302855485,0.00970704328955738,0.0212632117691351,0.00997550327949572,0.0127089455309065,"S_home"
"15",-0.0197976945082038,-0.0198703117421316,-0.0266660131377115,-0.0237848627018146,-0.0171133475715314,-0.0193408849907211,-0.01938747159402,-0.0334801615896116,"C_home"
"16",-0.0213318682035891,-0.0259404695019453,-0.0400981533465051,-0.0293766742028668,-0.0249271759743202,-0.0362518351974714,-0.0320019284141912,-0.0370259930776973,"S_away"
"17",0.0493653412705381,0.0507140730960527,0.0680901402038977,0.0623370127394483,0.0595969332795346,0.0711489647700754,0.0580844346858245,0.0737400183263395,"C_away"
"18",0.109401174226576,0.0633091425323798,-0.609027487485843,-0.20994751208873,-0.0373634236411116,-0.230131478746201,-0.0541136702846015,-0.14776135991468,"Intercept"
"19",0,0,0,0,0.0334671114852692,0.0337721617261018,0.0347720475414341,0.0377183904437832,"alpha_home"
"20",0,0,0,0,0.0246046874158201,0.0209308219727001,0.0246677412483112,0.0217441531454806,"alpha_away"
"21",0,0,0,0,5.35935486342408,5.72417008959884,5.3693197122374,6.51292591542204,"beta_home"
"22",0,0,0,0,5.05789157199127,4.41187837812153,4.99722449784218,5.4172345600717,"beta_away"
"23",0,0,0.911412618263998,0.683567793162001,0,0.443804530705983,0,0.53866273502321,"xi1"
"24",0,0,0.815966128604093,0.637110934209506,0,0.33680428668503,0,0.52451203597743,"xi2"
